"skill_id","skills","demand_count","avg_salary"
234,"confluence","11","114153.12"
92,"spark","13","113001.94"
80,"snowflake","37","111577.72"
97,"hadoop","22","110888.27"
2,"nosql","13","108331.04"
78,"redshift","16","107968.80"
233,"jira","20","107931.30"
76,"aws","32","106439.84"
13,"c++","11","105695.51"
201,"alteryx","17","105579.57"
74,"azure","34","105399.62"
77,"bigquery","13","105237.60"
185,"looker","49","103855.35"
1,"python","236","101511.85"
79,"oracle","37","100964.19"
187,"qlik","13","100932.78"
4,"java","17","100213.87"
5,"r","148","98707.80"
215,"flow","28","98019.82"
182,"tableau","230","97978.08"
8,"go","27","97266.97"
194,"ssis","12","97234.75"
0,"sql","398","96435.33"
61,"sql server","35","96191.42"
22,"vba","24","93844.97"
